parcel_name,parcel_code,land_use_code,far,building_height_m,building_density_pct,green_ratio_pct,land_area_sqm,floor_area_sqm,notice_no,doc_no,notice_date,corridor,source_url,extraction_notes
北京市海淀区功德寺棚户区改造项目HD-GDS-002地块R2二类居住用地,HDGDS002,R2,2.1,30,,30,42463.441,89173.2261,京土储挂（海）[2024]044号,京规自（海）供审函〔2024〕0005号,2024-09-30,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240930/4685115.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 205pt）；地块编号按公告标题校正为 HDGDS002
北京市海淀区东升镇北部片区朱房四街棚户区改造项目二期（剩余用地）HD00-0803-0029地块R2二类居住用地,HD0008030029,R2,2.4,48,,30,42734.155,102561.972,京土储挂（海）[2024]051号,京规自（海）供审函〔2024〕0006号,2024-11-28,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20241128/4748859.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 187pt）；地块编号按公告标题校正为 HD0008030029
北京市海淀区东升镇北部片区朱房四街棚户区改造项目二期（剩余用地）HD00-0803-0029地块R2二类居住用地,HD00-0803-,R2,2.42,48,,30,39303.709,95114.9758,京土储挂（海）[2024]051号,京规自（海）供审函〔2024〕0006号,2024-11-28,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20241128/4748859.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 187pt）；函内地块编号解析不完整（函件同时列示多宗地块），需对照函件原表复核
北京市海淀区东升镇北部片区朱房四街棚户区改造项目二期（剩余用地）HD00-0803-0030地块R2二类居住用地,HD0008030030,R2,2.4,48,,30,42734.155,102561.972,京土储挂（海）[2024]052号,京规自（海）供审函〔2024〕0006号,2024-11-28,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20241128/4748860.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 187pt）；地块编号按公告标题校正为 HD0008030030
北京市海淀区东升镇北部片区朱房四街棚户区改造项目二期（剩余用地）HD00-0803-0030地块R2二类居住用地,HD00-0803-,R2,2.42,48,,30,39303.709,95114.9758,京土储挂（海）[2024]052号,京规自（海）供审函〔2024〕0006号,2024-11-28,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20241128/4748860.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 187pt）；函内地块编号解析不完整（函件同时列示多宗地块），需对照函件原表复核
北京市海淀区六郎庄项目HD00-1010-0002、0003、0004地块F3其他类多功能用地,HD0010100002,F3,,,,,51399.76,52941.75,京土储挂（海）[2025]001号,京规自（海）供审函〔2024〕0008号,2025-01-10,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20250110/4946889.html,附件“3.“多规合一”协同平台审核意见的函及建设工程规划用地测量成...” 37MB 超限，仅记录 URL; pdftotext 标签直读；地块编号按公告标题校正为 HD0010100002
北京市海淀区树村资金平衡用地统筹项目HD00-0705-0035-1地块R2二类居住用地,HD00-0705-0035-1,R2,1.6,18,,30,39737.80,73299.74,京土储挂（海）[2025]009号,京规自（海）供审函〔2025〕0001号,2025-02-07,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20250207/4966648.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 171pt）
北京市海淀区半壁店地区城中村改造项目HD00-2201-0003、0004地块R2二类居住用地,HD0022010003,R2,,,,,40629.23,57958.6,京土储挂（海）[2025]013号,京规自（海）供审函〔2025〕0002号,2025-03-28,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20250328/5016372.html,pdftotext 标签直读；地块编号按公告标题校正为 HD0022010003
北京市海淀区宝山村棚户区改造平衡资金地块（二期）项目HD00-1412-0016地块二类城镇住宅用地,HD0014120016,R2,,,,,52602.32,,京土储挂（海）[2025]017号,京规自（海）供审函〔2024〕0007号,2025-04-28,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20250428/5096288.html,pdftotext 标签直读；地块编号按公告标题校正为 HD0014120016
北京市海淀区宝山村棚户区改造平衡资金地块（二期）项目HD00-1412-0017地块二类城镇住宅用地,HD0014120017,R2,,,,,52602.32,,京土储挂（海）[2025]018号,京规自（海）供审函〔2024〕0007号,2025-04-28,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20250428/5096287.html,pdftotext 标签直读；地块编号按公告标题校正为 HD0014120017
北京市海淀区上地0702街区东地块土地一级开发项目HD00-0702-18、24、23地块R2二类居住用地、F3其他类多功能用地,HD00070218,,,,,,77132.238,225393.2772,京土储挂（海）[2025]043号,京规自（海）供审函〔2025〕0005号,2025-11-17,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20251117/5334069.html,pdftotext 标签直读；地块编号按公告标题校正为 HD00070218
北京市海淀区四季青镇西郊机场周边及沿线（西冉、田村、常青片区）城中村改造项目HD00-1408-0034、0049、0040地块二类城镇住宅用地、商业服务业用地,HD0014080034,,,,,,85152.24,142613.628,京土储挂（海）[2026]038号,京规自（海）供审函〔2026〕0001号,2026-07-09,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20260709/5617346.html,pdftotext 标签直读；地块编号按公告标题校正为 HD0014080034
