机构名称,地址,邮政编码,区县代码,区县名称,经济类型名称,机构管理名称,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status,_lon,_lat,_status,_addr,corridor_kw_hint
北京市海淀区北下关街道青云社区卫生服务站,北京市海淀区北三环西路40号,100086,110108,海淀区,国有全资,非营利性医疗机构,21,北京市海淀区北三环西路40号,116.320904,39.964264,ok,116.320904,39.964264,ok,北京市海淀区北三环西路40号,
北京市海淀区北下关街道双安社区卫生服务站,北京市海淀区双榆树南里二里3号平房,100086,110108,海淀区,国有全资,非营利性医疗机构,22,北京市海淀区双榆树南里二里3号平房,116.323455,39.964146,ok,116.323455,39.964146,ok,北京市海淀区双榆树南里二里3号平房,
北京市海淀区北下关街道皂君庙社区卫生服务站,北京市海淀区学院南路皂君东里,100081,110108,海淀区,集体全资,非营利性医疗机构,23,北京市海淀区学院南路皂君东里,116.330916,39.95804,ok,116.330916,39.95804,ok,北京市海淀区学院南路皂君东里,
北京市海淀区北下关街道中国铁道科学研究院社区卫生服务站,北京市海淀区西直门外大柳树路2号,100081,110108,海淀区,国有全资,非营利性医疗机构,24,北京市海淀区西直门外大柳树路2号,116.334795,39.955274,ok,116.334795,39.955274,ok,北京市海淀区西直门外大柳树路2号,
北京市海淀区北下关街道中央财经大学社区卫生服务站,海淀区学院南路39号院,100081,110108,海淀区,国有全资,非营利性医疗机构,25,北京市海淀区学院南路39号院,116.338436,39.956992,ok,116.338436,39.956992,ok,海淀区学院南路39号院,
北京市海淀区北下关社区卫生服务中心（北京市海淀区北下关医院）,北京市海淀区北下关财院东侧路,100081,110108,海淀区,国有全资,非营利性医疗机构,26,北京市海淀区北下关财院东侧路,116.332566,39.954642,ok,116.332566,39.954642,ok,北京市海淀区北下关财院东侧路,
北京市海淀区东升镇八家嘉园社区卫生服务站,北京市海淀区东升镇八家嘉园19号楼地上一层,100085,110108,海淀区,国有全资,非营利性医疗机构,27,北京市海淀区东升镇八家嘉园19号楼地上一层,116.339145,40.014781,ok,116.339145,40.014781,ok,北京市海淀区东升镇八家嘉园19号楼地上一层,
北京市海淀区东升镇社区卫生服务中心（北京市海淀区东升卫生院）,北京市海淀区东升镇潘庄村西路,100192,110108,海淀区,集体全资,非营利性医疗机构,29,北京市海淀区东升镇潘庄村西路,116.328018,39.993782,ok,116.328018,39.993782,ok,北京市海淀区东升镇潘庄村西路,
北京市海淀区东升镇朱房前街社区卫生服务站,北京市海淀区清河朱房前街4号院,100192,110108,海淀区,国有全资,非营利性医疗机构,30,北京市海淀区清河朱房前街4号院,116.322508,40.025616,ok,116.322508,40.025616,ok,北京市海淀区清河朱房前街4号院,
北京市海淀区花园路街道1201社区卫生服务站,北京市海淀区花园路5号院11号楼南侧,100088,110108,海淀区,国有全资,非营利性医疗机构,46,北京市海淀区花园路5号院11号楼南侧,116.35512,39.97312,ok,116.35512,39.97312,ok,北京市海淀区花园路5号院11号楼南侧,
北京市海淀区花园路街道北科欣兴社区卫生服务站,北京市海淀区花园路街道花园路3号院2号楼北侧平房,100088,110108,海淀区,国有全资,非营利性医疗机构,47,北京市海淀区花园路街道花园路3号院2号楼北侧平房,116.345321,39.983166,ok,116.345321,39.983166,ok,北京市海淀区花园路街道花园路3号院2号楼北侧平房,
北京市海淀区花园路街道北影社区卫生服务站,北京市海淀区北三环中路77号,100088,110108,海淀区,国有全资,非营利性医疗机构,48,北京市海淀区北三环中路77号,116.351488,39.971429,ok,116.351488,39.971429,ok,北京市海淀区北三环中路77号,
北京市海淀区花园路街道金尚嘉园社区卫生服务站,北京市海淀区花园路甲2号3号楼7-101,100088,110108,海淀区,国有全资,非营利性医疗机构,49,北京市海淀区花园路甲2号3号楼7-101,116.345321,39.983166,ok,116.345321,39.983166,ok,北京市海淀区花园路甲2号3号楼7-101,
北京市海淀区花园路街道塔院社区卫生服务站,北京市海淀区塔院小区朗秋园3楼1门103,100088,110108,海淀区,国有全资,非营利性医疗机构,50,北京市海淀区塔院小区朗秋园3楼1门103,116.354867,39.975522,ok,116.354867,39.975522,ok,北京市海淀区塔院小区朗秋园3楼1门103,
北京市海淀区花园路社区卫生服务中心,北京市海淀区马甸西路月季园小区,100088,110108,海淀区,国有全资,非营利性医疗机构,51,北京市海淀区马甸西路月季园小区,116.367544,39.970247,ok,116.367544,39.970247,ok,北京市海淀区马甸西路月季园小区,
北京市海淀区蓟门里社区卫生服务中心(北京市海淀区蓟门里医院),北京市海淀区蓟门里小区内,100088,110108,海淀区,国有全资,非营利性医疗机构,52,北京市海淀区蓟门里小区内,116.345389,39.968417,ok,116.345389,39.968417,ok,北京市海淀区蓟门里小区内,
北京市海淀区清河街道社会福利社区卫生服务中心,北京市海淀区清河三街52号北京市社会福利院门诊楼一层,100085,110108,海淀区,国有全资,非营利性医疗机构,69,北京市海淀区清河三街52号北京市社会福利院门诊楼一层,116.337737,40.026166,ok,116.337737,40.026166,ok,北京市海淀区清河三街52号北京市社会福利院门诊楼一层,
北京市海淀区清河街道朱房社区卫生服务站,北京市海淀区清河街道前街56号,100085,110108,海淀区,国有全资,非营利性医疗机构,72,北京市海淀区清河街道前街56号,116.333711,40.029495,ok,116.333711,40.029495,ok,北京市海淀区清河街道前街56号,
北京市海淀区上地街道上地社区卫生服务站,海淀区上地南路6号院1楼,100085,110108,海淀区,国有全资,非营利性医疗机构,76,北京市海淀区上地南路6号院1楼,116.311992,40.028534,ok,116.311992,40.028534,ok,海淀区上地南路6号院1楼,
北京市海淀区曙光街道烟树园社区卫生服务站,北京市海淀区曙光街道烟树园社区,100097,110108,海淀区,集体全资,非营利性医疗机构,100,北京市海淀区曙光街道烟树园社区,116.339244,39.971052,ok,116.339244,39.971052,ok,北京市海淀区曙光街道烟树园社区,
北京市海淀区双榆树社区卫生服务中心(北京市海淀区中医医院),海淀区双榆树西里12号,100086,110108,海淀区,国有全资,非营利性医疗机构,101,北京市海淀区双榆树西里12号,116.318563,39.968632,ok,116.318563,39.968632,ok,海淀区双榆树西里12号,
北京市海淀区西三旗街道龙岗社区卫生服务站,北京市海淀区西三旗街道龙岗路3号,100085,110108,海淀区,国有全资,非营利性医疗机构,165,北京市海淀区西三旗街道龙岗路3号,116.34378,40.028606,ok,116.34378,40.028606,ok,北京市海淀区西三旗街道龙岗路3号,
北京市海淀区西三旗街道永泰社区卫生服务站,北京市海淀区清缘里中区1号楼底商,100085,110108,海淀区,国有全资,非营利性医疗机构,168,北京市海淀区清缘里中区1号楼底商,116.351497,40.028647,ok,116.351497,40.028647,ok,北京市海淀区清缘里中区1号楼底商,
北京市海淀区学院路街道城建第四社区卫生服务站,北京市海淀区王庄路27号,100083,110108,海淀区,国有全资,非营利性医疗机构,172,北京市海淀区王庄路27号,116.332802,39.994982,ok,116.332802,39.994982,ok,北京市海淀区王庄路27号,
北京市海淀区学院路街道大华无线电仪器厂社区卫生服务站,北京市海淀区学院路14号,100083,110108,海淀区,国有全资,非营利性医疗机构,173,北京市海淀区学院路14号,116.345457,40.002124,ok,116.345457,40.002124,ok,北京市海淀区学院路14号,
北京市海淀区学院路街道东王庄社区卫生服务站,东王庄小区8号楼一层,100083,110108,海淀区,国有全资,非营利性医疗机构,174,北京市东王庄小区8号楼一层,116.340481,39.99833,ok,116.340481,39.99833,ok,东王庄小区8号楼一层,
北京市海淀区学院路街道二里庄社区卫生服务站,北京市海淀区二里庄5号楼一层,100083,110108,海淀区,其他,非营利性医疗机构,175,北京市海淀区二里庄5号楼一层,116.360569,39.996773,ok,116.360569,39.996773,ok,北京市海淀区二里庄5号楼一层,
北京市海淀区学院路街道建清园社区卫生服务站,北京市海淀区学院路建清园小区3号楼、北京市海淀区双泉堡125号院2号楼1号,100085,110108,海淀区,集体全资,非营利性医疗机构,176,北京市海淀区学院路建清园小区3号楼、北京市海淀区双泉堡125号院2号楼1号,116.351406,40.013473,ok,116.351406,40.013473,ok,北京市海淀区学院路建清园小区3号楼、北京市海淀区双泉堡125号院2号楼1号,
北京市海淀区学院路街道军休社区卫生服务站,海淀区二里庄15号,100083,110108,海淀区,国有全资,非营利性医疗机构,177,北京市海淀区二里庄15号,116.361673,39.993972,ok,116.361673,39.993972,ok,海淀区二里庄15号,
北京市海淀区学院路街道信息产业部电子第六研究所社区卫生服务站,北京市海淀区学院路16号1号楼,100083,110108,海淀区,国有全资,非营利性医疗机构,179,北京市海淀区学院路16号1号楼,116.347847,39.997605,ok,116.347847,39.997605,ok,北京市海淀区学院路16号1号楼,
北京市海淀区学院路街道志新村社区卫生服务站,北京市海淀区志新村小区8号楼,100039,110108,海淀区,国有全资,非营利性医疗机构,180,北京市海淀区志新村小区8号楼,116.360996,39.989599,ok,116.360996,39.989599,ok,北京市海淀区志新村小区8号楼,
北京市海淀区学院路社区卫生服务中心,海淀区北四环中路279号展春园小区30号楼,100083,110108,海淀区,国有全资,非营利性医疗机构,181,北京市海淀区北四环中路279号展春园小区30号楼,116.337335,39.987023,ok,116.337335,39.987023,ok,海淀区北四环中路279号展春园小区30号楼,
北京市海淀区中关村街道保福寺社区卫生服务站,中关村南二条甲334楼101,100190,110108,海淀区,国有全资,非营利性医疗机构,199,北京市中关村南二条甲334楼101,116.32788,39.981575,ok,116.32788,39.981575,ok,中关村南二条甲334楼101,
北京市海淀区中关村街道华清园社区卫生服务站,北京市海淀区东升园公寓10号楼5南侧,100083,110108,海淀区,国有全资,非营利性医疗机构,200,北京市海淀区东升园公寓10号楼5南侧,116.329858,39.988019,ok,116.329858,39.988019,ok,北京市海淀区东升园公寓10号楼5南侧,
北京市海淀区中关村街道科学园南里社区卫生服务站,科学园南里东街6-5,100101,110108,海淀区,国有全资,非营利性医疗机构,201,北京市科学园南里东街6-5,116.377434,39.996219,ok,116.377434,39.996219,ok,科学园南里东街6-5,
北京市海淀区中关村街道青云北区社区卫生服务站,北京市海淀区青云北宿舍区,100086,110108,海淀区,国有全资,非营利性医疗机构,202,北京市海淀区青云北宿舍区,116.325326,39.973398,ok,116.325326,39.973398,ok,北京市海淀区青云北宿舍区,
北京市海淀区中关村街道水清木华园社区卫生服务站,北京市海淀区中关村北二街水清木华园1-107,100080,110108,海淀区,国有全资,非营利性医疗机构,203,北京市海淀区中关村北二街水清木华园1-107,116.321802,39.986768,ok,116.321802,39.986768,ok,北京市海淀区中关村北二街水清木华园1-107,
北京市海淀区中关村街道知春东里社区卫生服务站,海淀区双榆树知春东里9号楼,100086,110108,海淀区,集体全资,非营利性医疗机构,204,北京市海淀区双榆树知春东里9号楼,116.32043,39.974598,ok,116.32043,39.974598,ok,海淀区双榆树知春东里9号楼,
北京市海淀区紫竹院街道厂洼社区卫生服务站,海淀区紫竹院街道社区卫生服务中心一层,100081,110108,海淀区,国有全资,非营利性医疗机构,205,北京市海淀区紫竹院街道社区卫生服务中心一层,116.339244,39.971052,ok,116.339244,39.971052,ok,海淀区紫竹院街道社区卫生服务中心一层,
北京市海淀区紫竹院街道魏公村社区卫生服务站,魏公村小区19号楼西侧平房,100081,110108,海淀区,国有全资,非营利性医疗机构,209,北京市魏公村小区19号楼西侧平房,116.310933,39.951732,ok,116.310933,39.951732,ok,魏公村小区19号楼西侧平房,
北京体育大学社区卫生服务中心（北京体育大学医院）,北京海淀中关村北大街（圆明园东路）,100084,110108,海淀区,国有全资,非营利性医疗机构,210,北京市北京海淀中关村北大街（圆明园东路）,116.314492,40.02078,ok,116.314492,40.02078,ok,北京海淀中关村北大街（圆明园东路）,
北京邮电大学社区卫生服务中心（北京邮电大学医院）,北京海淀区西土城路10号,100876,110108,海淀区,国有全资,非营利性医疗机构,212,北京市北京海淀区西土城路10号,116.351734,39.960729,ok,116.351734,39.960729,ok,北京海淀区西土城路10号,
北京语言大学社区卫生服务中心,北京海淀区学院路15号,100083,110108,海淀区,国有全资,非营利性医疗机构,213,北京市北京海淀区学院路15号,116.350306,39.997814,ok,116.350306,39.997814,ok,北京海淀区学院路15号,
清华大学社区卫生服务中心,北京市海淀区清华园1号清华大学医院三层及一层、二层部分房间,100039,110108,海淀区,集体全资,非营利性医疗机构,215,北京市海淀区清华园1号清华大学医院三层及一层、二层部分房间,116.320793,40.0019,ok,116.320793,40.0019,ok,北京市海淀区清华园1号清华大学医院三层及一层、二层部分房间,
中国地质大学（北京）社区卫生服务中心,海淀区学院路29号,100083,110108,海淀区,国有全资,非营利性医疗机构,217,北京市海淀区学院路29号,116.342688,39.989971,ok,116.342688,39.989971,ok,海淀区学院路29号,
中国矿业大学(北京)社区卫生服务站,北京市海淀区学院路丁11号,100083,110108,海淀区,国有全资,非营利性医疗机构,218,北京市海淀区学院路丁11号,116.342183,39.996189,ok,116.342183,39.996189,ok,北京市海淀区学院路丁11号,
中国农业大学东区社区卫生服务中心（中国农业大学东区医院）,北京市海淀区清华东路17号,100083,110108,海淀区,国有全资,非营利性医疗机构,219,北京市海淀区清华东路17号,116.350795,40.00322,ok,116.350795,40.00322,ok,北京市海淀区清华东路17号,
中央民族大学社区卫生服务中心,北京市海淀区中关村南大街27号,100081,110108,海淀区,国有全资,非营利性医疗机构,222,北京市海淀区中关村南大街27号,116.313558,39.949391,ok,116.313558,39.949391,ok,北京市海淀区中关村南大街27号,
